T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
252706, -194, 628, 831, 38570, 18130, -11550
252726, -211, 636, 916, 42910, -6510, -15820
252746, -204, 661, 782, 44730, -45710, -21280
252766, -134, 690, 757, 59220, -60550, -28000
252786, -92, 706, 755, 66010, -62720, -30870
252806, -57, 708, 796, 57890, -64400, -28210
252826, -124, 685, 791, 37800, -97510, -21770
252846, -162, 666, 745, 36330, -135030, -20440
252866, -72, 687, 669, 38010, -148890, -19390
252886, -2, 699, 661, 35210, -147910, -19810
252906, 1, 677, 791, 29260, -131530, -22260
252926, -83, 623, 775, 30730, -126000, -15820
252946, -75, 692, 654, 54530, -134470, -8820
252966, -27, 724, 602, 80360, -102760, 6160
252986, 61, 723, 663, 59360, -42700, 16450
253006, 94, 760, 595, 45080, -52990, 12110
253026, 94, 751, 539, 45640, -81900, -3850
253046, 105, 729, 665, 40250, -78820, -13790
253066, 123, 733, 635, 46200, -85260, -21350
253086, 118, 738, 514, 90160, -118790, -35140
253106, 125, 647, 414, 180950, -176820, -71470
253126, 126, 779, 216, 329910, -271950, -133490
253146, -58, 758, -26, 496300, -348250, -223160
253166, -267, 976, -313, 606340, -383460, -305340
253186, -291, 1413, -553, 677180, -444080, -390950
253206, -274, 1176, -618, 388920, -306180, -364490
253226, -151, 982, -444, -180040, 109200, -62650
253246, -179, 398, -290, -512190, 510300, 179550
253266, -162, 122, -155, -425460, 642460, 284130
253286, -153, 75, -103, -197050, 653730, 213990
253306, -157, 96, -86, 22330, 638260, 94080
253326, -175, 180, -83, 195440, 613480, -3850
253346, -220, 480, -118, 332290, 575820, -79730
253366, -242, 995, -73, 435890, 512680, -153370
253386, -164, 1126, -61, 408170, 394660, -242340
253406, -86, 914, -184, 82320, 237230, -291270
253426, -60, 1018, -382, -342230, 136220, -239680
253446, -99, 1099, -456, -490350, 148750, -105140
253466, -207, 1418, -368, -264600, 263550, 76230
253486, -276, 1785, -206, 164500, 379820, 184100
253506, -191, 1997, -383, 353850, 328580, 74340
253526, -34, 1997, -761, 48160, 85960, -218820
253546, -87, 1997, -746, -332780, -51940, -327530
253566, -238, 1997, -369, -142730, 115850, -40880
253586, -226, 1793, -239, 266840, 302540, 233100
253606, -101, 1704, -459, 184660, 189210, 91700
253626, -47, 1560, -560, -151270, -56980, -215670
253646, -92, 1501, -405, -183470, -91000, -226380
253666, -192, 1331, -175, 97090, 77280, 50050
253686, -205, 1115, -104, 111720, 137970, 252070
253706, -151, 1106, -238, -122850, -68670, 6580
253726, -78, 1117, -382, -173670, -214060, -184520
253746, -46, 1079, -343, 9170, -197190, -158970
253766, -80, 1027, -216, 233870, -89950, 21000
253786, -137, 925, -83, 277690, -22820, 183960
253806, -169, 781, -64, 120330, -64190, 215180
253826, -147, 623, -106, -87780, -189700, 120820
253846, -120, 416, -114, -181510, -315490, -7980
253866, -98, 171, -59, -135030, -385700, -94360
253886, -88, 46, -13, -50330, -413910, -133420
253906, -85, 22, -6, -11690, -436380, -152460
253926, -89, 18, -16, -13300, -463470, -162330
253946, -93, 20, -27, -24640, -488950, -167370
253966, -95, 28, -39, -32340, -508620, -173390
253986, -86, 44, -68, -33950, -521290, -181230
254006, -48, 67, -136, -17150, -519400, -184380
254026, 14, 120, -230, 53480, -479710, -165690
254046, 15, 249, -197, 245210, -362320, -92260
254066, 16, 493, -220, 522060, -193270, 38010
254086, -62, 1091, -192, 709660, -50190, 199920
254106, -290, 1325, -20, 721770, 88480, 441630
254126, -404, 876, -43, 325290, 142450, 697900
254146, -324, 642, -153, -339920, -51730, 672000
254166, -295, 663, -343, -679910, -398020, 341880
254186, -275, 982, -582, -496930, -672210, -97510
254206, -46, 1610, -749, 48650, -771190, -456960
254226, -18, 1997, -479, 589470, -673470, -455700
254246, -383, 1975, -227, 715330, -405860, 34230
254266, -477, 1421, -204, 245630, -159110, 655900
254286, -488, 1451, -481, -384790, -271250, 738990
254306, -404, 1997, -1047, -475020, -706440, 136570
254326, 72, 1997, -1061, -55720, -1034040, -518280
254346, -358, 1997, -481, 368270, -874230, -350420
254366, -565, 1962, -209, 384860, -384650, 513240
254386, -490, 1812, -646, -198730, -313950, 795760
254406, -219, 1635, -925, -558600, -798840, 142590
254426, -23, 1321, -645, -289520, -1074080, -352100
254446, -37, 1036, -261, 232050, -900480, -194880
254466, -161, 828, -48, 579460, -592760, 234640
254486, -304, 787, 1, 539000, -403550, 540890
254506, -400, 799, -120, 244160, -396410, 624540
254526, -411, 769, -305, -139300, -547610, 519610
254546, -377, 776, -470, -408240, -978040, 8540
254566, -285, 802, -527, -152530, -1053570, -207480
254586, -185, 799, -473, 160510, -1008210, -282240
254606, -103, 728, -347, 341460, -886200, -178360
254626, -85, 542, -194, 363930, -736680, 49770
254646, -113, 296, -75, 295540, -614320, 280140
254666, -126, 153, -32, 214410, -552090, 420560
254686, -135, 93, -15, 163240, -537460, 472500
254706, -144, 83, -11, 135520, -546420, 476280
254726, -157, 85, -17, 110390, -568330, 458080
254746, -169, 87, -28, 78470, -599340, 429100
254766, -185, 120, -53, 42140, -636300, 393890
254786, -214, 239, -93, 6580, -674800, 355740
254806, -247, 439, -172, -34790, -715330, 314510
254826, -253, 546, -242, -79450, -759220, 264530
254846, -235, 471, -258, -78540, -794780, 199920
254866, -207, 327, -218, -9030, -815710, 112490
254886, -191, 354, -219, 65450, -822430, 22960
254906, -169, 499, -247, 88200, -815010, -33530
254926, -129, 652, -287, 71260, -780570, -27090
254946, -109, 749, -285, 51800, -700350, 70280
254966, -138, 838, -243, 64890, -574490, 248780
254986, -199, 942, -193, 98420, -446530, 426160
255006, -257, 1036, -187, 92540, -383180, 499170
255026, -261, 1217, -323, -3290, -436310, 402990
255046, -192, 1436, -525, -131880, -568470, 190190
255066, -94, 1719, -640, -110530, -643580, 28000
255086, -122, 1997, -546, 159180, -569800, 41510
255106, -234, 1997, -472, 390740, -420630, 187250
255126, -244, 1997, -627, 198870, -359590, 289450
255146, -164, 1997, -805, -171780, -447790, 201110
255166, -105, 1997, -782, -93800, -545790, 1470
255186, -146, 1997, -548, 262850, -521920, -70840
255206, -194, 1713, -446, 202230, -421750, 75040
255226, -171, 1192, -364, -129710, -375270, 201460
255246, -148, 998, -317, -184450, -424690, 110390
255266, -106, 990, -296, -18410, -488390, -78820
255286, -59, 1278, -367, 78750, -498820, -172900
255306, -99, 1450, -391, 53480, -438550, -101430
255326, -184, 1329, -313, -23730, -305480, 131600
255346, -195, 1054, -216, -87010, -168490, 377300
255366, -154, 863, -209, -96950, -163100, 369390
255386, -104, 779, -234, -69650, -287280, -121240
255406, -46, 641, -228, -41440, -377790, -159250
255426, -26, 435, -160, 5950, -286440, -58310
255446, -26, 231, -77, 74130, -178290, 66640
255466, -31, 142, -35, 121590, -103180, 135380
255486, -37, 155, -28, 140000, -63000, 149660
255506, -54, 237, -35, 138320, -40740, 141680
255526, -62, 258, -34, 118300, -29680, 124670
255546, -65, 251, -35, 81830, -29680, 97580
255566, -54, 185, -28, 41860, -37590, 58940
255586, -44, 124, -21, 16590, -45920, 12180
255606, -39, 111, -23, 7700, -47950, -32340
255626, -47, 199, -44, 8960, -43260, -70560
255646, -55, 375, -99, 12110, -32200, -98700
255666, -55, 520, -143, 16940, -8260, -103530
255686, -61, 555, -151, 28420, 37940, -67200
255706, -77, 529, -133, 42490, 96600, -6720
255726, -93, 530, -123, 47950, 141820, 32480
255746, -101, 542, -123, 43960, 159110, 23940
255766, -96, 508, -119, 38710, 151200, -29190
255786, -91, 537, -130, 42140, 132160, -103950
255806, -93, 753, -187, 51380, 121240, -162540
255826, -96, 1020, -257, 49350, 131180, -173950
255846, -111, 1085, -284, 19530, 170590, -117670
255866, -127, 1017, -269, -32200, 227850, -20720
255886, -142, 1070, -277, -66640, 265230, 29050
255906, -152, 1326, -329, -46550, 263270, -15330
255926, -145, 1713, -427, 7910, 234780, -117530
255946, -122, 1997, -532, 20090, 211470, -189980
255966, -138, 1997, -602, -59780, 232050, -153300
255986, -167, 1997, -600, -143290, 293720, -48230
256006, -176, 1997, -609, -87570, 332920, -24500
256026, -133, 1997, -665, 52640, 309330, -129080
256046, -119, 1997, -688, 58450, 276430, -209440
256066, -157, 1993, -568, -57050, 312620, -142380
256086, -173, 1658, -413, -52080, 379400, -53620
256106, -149, 1351, -300, 72030, 387170, -92680
256126, -113, 1030, -233, 111930, 340060, -199010
256146, -89, 793, -206, 29190, 303310, -252910
256166, -91, 851, -253, -68530, 307860, -232960
256186, -120, 1057, -315, -115850, 341670, -179340
256206, -158, 1164, -321, -112350, 391300, -113050
256226, -175, 1231, -311, -79030, 438550, -58240
256246, -161, 1124, -273, -12110, 404530, -168840
256266, -123, 745, -176, 8610, 359170, -262500
256286, -99, 431, -99, 8610, 345380, -290010
256306, -84, 163, -33, -2100, 349440, -281610
256326, -73, 59, -10, -8190, 350210, -279160
256346, -72, 52, -8, -3220, 346710, -284060
256366, -81, 114, -19, 3360, 343490, -282660
256386, -98, 438, -89, 2730, 340060, -272160
256406, -89, 702, -184, -36120, 346290, -222740
256426, -103, 447, -150, -138390, 384790, -92540
256446, -96, 246, -126, -205170, 427700, 16030
256466, -92, 113, -86, -191870, 441630, 27510
256486, -89, 77, -72, -121590, 443870, -13020
256506, -91, 78, -68, -41300, 439670, -65310
256526, -111, 174, -77, 37100, 436100, -106820
256546, -139, 446, -122, 105490, 428260, -137900
256566, -150, 668, -118, 150360, 411600, -158200
256586, -116, 454, -50, 106120, 382830, -151480
256606, -84, 286, -36, -37520, 335720, -138180
256626, -94, 495, -108, -161350, 283710, -148750
256646, -93, 807, -247, -220150, 245770, -169750
256666, -106, 1013, -335, -205870, 240170, -172760
256686, -152, 1195, -323, -82810, 289450, -122990
256706, -185, 1207, -241, 64610, 347760, -57750
256726, -175, 1152, -217, 90230, 336840, -67970
256746, -144, 1269, -310, 770, 245000, -185430
256766, -114, 1475, -433, -55930, 157290, -311010
256786, -129, 1722, -471, 6370, 158620, -314580
