T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
22673, -16, -52, 1029, 18900, -35980, -4550
22693, -25, -26, 1023, 22680, -39900, -5740
22713, 5, -11, 1010, 25060, -37590, -11550
22733, 44, 22, 1031, 25270, -35910, -20370
22753, 55, 53, 1062, 23240, -26040, -26880
22773, 32, 66, 1025, 23870, -7560, -39830
22793, -10, 85, 1015, 30170, -6860, -52640
22813, -23, 63, 966, 31640, -21350, -55020
22833, 41, 136, 906, 33390, -33250, -55090
22853, 42, 109, 833, 46760, -53900, -52920
22873, -8, 123, 936, 36610, -47180, -57190
22893, -31, 78, 989, 35560, -19950, -64470
22913, 23, 100, 1083, 42070, -28000, -71050
22933, 171, 132, 995, 56350, -67550, -80430
22953, 173, 82, 1001, 44520, -103040, -70840
22973, 140, 141, 1152, 38290, -30450, -70000
22993, 130, 147, 1153, 48020, -16590, -67620
23013, 136, 169, 1058, 47740, -26320, -65030
23033, 145, 209, 1032, 49280, -17010, -73570
23053, 144, 213, 972, 52220, -4970, -82180
23073, 155, 202, 885, 52360, 3150, -88550
23093, 128, 200, 835, 61180, 28840, -79100
23113, 55, 244, 738, 112980, 67690, -69580
23133, -26, 314, 659, 225680, 112560, -67270
23153, -169, 356, 390, 366170, 130970, -58380
23173, 12, 449, 110, 487550, 132790, -47600
23193, -161, 446, -243, 655480, 180670, -68530
23213, -240, 1008, -217, 806540, 347620, -62720
23233, -255, 1105, 77, 861280, 365890, -60900
23253, -98, 225, 76, 481880, 214690, -48720
23273, -36, 17, 52, -9800, 28840, -56210
23293, -29, 3, 30, -142940, -54040, -67200
23313, -29, -9, 39, -152390, -85330, -61530
23333, -26, -13, 29, -141890, -106120, -53550
23353, -25, -9, 26, -129640, -125860, -47110
23373, -25, 8, 0, -108080, -137410, -39340
23393, -13, 394, -289, -77770, -139790, -27090
23413, -42, 1618, -682, 32690, -86590, 15330
23433, -414, 1997, -253, 571200, 212660, 277760
23453, -533, 1994, 171, 914900, 520170, 602840
23473, -275, 1997, -872, 153230, 193550, 220920
23493, 5, 1997, -1481, -708540, -389690, -579040
23513, -367, 1997, -594, -94430, -215040, -525420
23533, -464, 1997, -165, 826630, 353220, 229180
23553, -148, 1997, -975, 100660, 336840, 416220
23573, -32, 1997, -1264, -638260, -148400, -211190
23593, -421, 1997, -246, 230930, -81760, -319060
23613, -341, 1440, -209, 703360, 304990, 285180
23633, -140, 702, -307, -205520, 244230, 485450
23653, -66, 557, -310, -674030, -81550, 126560
23673, -14, 1005, -354, -286650, -182210, -166460
23693, -139, 1712, -252, 249970, -100730, -217770
23713, -290, 1427, -98, 512960, 33390, -28070
23733, -275, 826, -158, 219940, 112560, 297500
23753, -190, 470, -177, -382060, 1540, 410620
23773, -145, 362, -189, -608860, -208110, 223720
23793, -141, 384, -177, -55790, -405720, -309680
23813, -129, 413, -150, 169540, -401800, -405090
23833, -83, 393, -117, 244790, -375410, -371700
23853, -63, 186, -36, 229810, -336280, -248640
23873, -52, 37, 1, 181370, -312900, -130900
23893, -45, 0, 0, 149170, -320600, -84000
23913, -38, -14, -11, 135520, -336140, -73360
23933, -35, -22, -18, 136010, -343490, -74200
23953, -34, -26, -24, 142870, -344050, -83510
23973, -35, -26, -29, 152040, -339640, -99470
23993, -35, -18, -31, 162400, -330750, -119420
24013, -41, 1, -26, 170870, -320320, -138530
24033, -46, 25, -25, 174650, -311990, -150010
24053, -23, 110, -73, 173530, -307930, -146510
24073, 104, 1063, -536, 186340, -279650, -82250
24093, -417, 1434, -282, 315840, 33040, 472360
24113, -946, 1940, -130, 359100, 512890, 1269310
24133, -648, 1092, 157, -76720, 593250, 1479520
24153, -869, 1997, -1212, -545580, -115920, 396130
24173, 207, 1997, -1984, -367360, -949340, -1206520
24193, -1010, 1997, -367, 477050, -448910, -664370
24213, -659, 1354, 18, 525420, 570080, 1072540
24233, -632, 1995, -795, -599690, 135520, 598710
24253, -82, 1997, -1100, -392980, -690480, -909020
24273, 0, 1997, -544, 407750, -617470, -1067290
24293, -391, 1418, -17, 806260, -59780, -92120
24313, -443, 735, 79, 402360, 292880, 742350
24333, -374, 574, -54, -262990, 151550, 779030
24353, -350, 841, -373, -590660, -280280, 224350
24373, -229, 1142, -677, -457450, -651700, -480550
24393, -43, 928, -487, -34790, -688730, -803250
24413, -18, 443, -132, 487970, -433300, -571620
24433, -3, 95, -27, 715890, -172060, -129080
24453, -5, 72, -8, 678580, -85260, 91770
24473, -4, 59, 0, 639170, -85960, 126490
24493, -2, 51, 1, 607460, -97930, 134680
24513, -4, 47, 5, 573790, -111930, 139930
24533, -5, 45, 10, 539560, -124600, 144760
24553, -5, 43, 17, 503650, -134890, 150920
24573, -12, 42, 25, 462700, -144130, 161280
24593, -21, 50, 39, 416430, -153720, 176330
24613, -41, 78, 57, 362250, -165830, 196280
24633, -84, 160, 77, 289590, -186620, 226660
24653, -278, 710, 26, -9030, -281330, 398860
24673, -862, 1568, -484, -448350, -366450, 736890
24693, -1615, 1997, -1033, -1024030, -439110, 1405180
24713, -724, -65, 7, -854140, -513100, 1917370
24733, -1998, 1997, -1317, 484120, -1066730, 664930
24753, 169, 1997, -1997, 60830, -1986530, -1254890
24773, -181, 1997, -890, -203350, -1129030, -10780
24793, -740, 1742, 651, 1291570, 132860, 1361150
24813, -620, 1997, -706, 357420, -380520, 196770
24833, 68, 1361, -1059, -1187830, -1113630, -1023050
24853, 82, 617, -770, -808080, -714560, -797720
24873, -81, 826, -407, 668710, -33390, -253120
24893, -263, 1882, -71, 1306620, 268870, 46550
24913, -397, 1695, 49, 939330, 271740, 227920
24933, -267, 1290, -490, -374360, -21210, 252630
24953, -58, 608, -631, -1173270, -340410, 77770
24973, -97, 557, -435, -596260, -338310, -121450
24993, -136, 692, -280, 525770, -139020, -251160
25013, -118, 1182, -91, 924630, -49700, -234990
25033, -95, 413, 23, 686700, -50960, -62160
25053, -81, 100, 11, 135310, -71750, 206850
25073, -79, 74, -5, -128170, -105840, 309190
25093, -110, 229, -43, -187110, -131460, 320810
25113, -142, 591, -186, -210490, -147560, 326550
25133, -136, 599, -224, -231140, -154420, 344890
25153, -98, 397, -144, -128660, -113680, 367290
25173, -81, 227, -52, 114590, -62230, 302050
25193, -103, 291, -20, 290710, -57470, 164360
25213, -156, 644, -45, 325710, -91630, 38570
25233, -148, 882, -127, 236600, -157780, -67200
25253, -109, 897, -252, 2800, -238700, -121100
25273, -90, 811, -318, -234570, -254800, -50820
25293, -111, 728, -252, -260260, -171080, 104160
25313, -157, 752, -148, -61320, -43330, 218820
25333, -202, 944, -93, 159600, 28070, 196980
25353, -203, 1299, -191, 193830, -16800, 49700
25373, -134, 1600, -454, -8260, -140560, -122570
25393, -115, 1719, -606, -289030, -214830, -167580
25413, -222, 1988, -479, -309120, -119000, -4480
25433, -315, 1997, -345, 13090, 77070, 205870
25453, -214, 1997, -678, 188580, 120260, 175910
25473, -85, 1997, -939, -104510, -67900, -113260
25493, -209, 1997, -505, 29120, 69440, 10640
25513, -223, 1455, -191, 201530, 182420, 129010
25533, -130, 704, -114, -36820, 59710, -47040
25553, -55, 147, -30, -196350, -50190, -223440
25573, -33, 145, -51, -198030, -61880, -290080
25593, -15, 570, -325, -151620, -21490, -290640
25613, -81, 1091, -437, 59430, 135730, -150150
25633, -270, 1270, -247, 367290, 426650, 220570
25653, -332, 946, -33, 336840, 590310, 489650
25673, -169, 302, 3, 5670, 476770, 369530
25693, -60, 28, 3, -204540, 244020, 5880
25713, -29, -20, 0, -209860, 135520, -216160
25733, -28, -13, 1, -167020, 125650, -292040
25753, -29, -16, 10, -128940, 141960, -319620
25773, -31, -18, 12, -102480, 158760, -331310
25793, -32, -14, 11, -82600, 170940, -338450
25813, -34, -3, 6, -64260, 180600, -342230
25833, -30, 78, -39, -44800, 190960, -338590
25853, -6, 958, -425, -17430, 215040, -301630
25873, -297, 679, -248, 49420, 373100, -5250
25893, -482, 1076, -290, 11200, 670110, 610190
25913, -389, 789, -178, -213640, 754460, 851760
25933, -367, 737, -214, -448210, 601090, 665490
25953, -533, 1967, -590, -149590, 234430, -145250
25973, -137, 1997, -528, 439950, -67130, -906570
25993, -181, 1683, -369, 438690, -50540, -753200
26013, -307, 1220, -396, -119840, 209510, 41790
26033, -320, 1041, -469, -516530, 329490, 471310
26053, -418, 1997, -699, -260610, 245140, 242270
26073, -162, 1997, -719, 484400, 58030, -375480
26093, -297, 1997, -968, 517090, -58590, -535990
26113, -264, 1632, -648, -327670, 125580, 122850
26133, -296, 1574, -392, -459270, 312830, 547330
26153, -238, 1593, -200, 306740, 227500, 139930
26173, -109, 1152, -194, 542920, 770, -341880
26193, -57, 614, -192, 63280, -123550, -360220
26213, -56, 508, -259, -369320, -81200, -98420
26233, -98, 693, -346, -462210, 12390, 130900
26253, -186, 859, -257, -317450, 135030, 292320
26273, -255, 871, -55, 10850, 286860, 391580
26293, -190, 567, 33, 283990, 331730, 299390
26313, -109, 277, 14, 241920, 170100, -10500
26333, -59, 144, 5, 1330, -35910, -289660
26353, -39, 95, 0, -213920, -138460, -402920
26373, -25, 77, 0, -231980, -122920, -393260
26393, -15, 86, -9, -235760, -95970, -373660
26413, 1, 171, -69, -228690, -57470, -335160
26433, 0, 95, -51, -196350, 16520, -234220
26453, -8, 48, -20, -141960, 111160, -96320
26473, -16, 70, -39, -112420, 159250, -21560
26493, -29, 271, -138, -86310, 204120, 49840
26513, -101, 483, -199, -37520, 296870, 190540
26533, -246, 865, -298, 6230, 441980, 427700
26553, -395, 1159, -317, -630, 585270, 661430
26573, -355, 879, -132, -33600, 616210, 675850
26593, -449, 1729, -351, 100870, 367850, 119910
26613, -179, 1997, -725, 309400, -3990, -635110
26633, -195, 1997, -964, 152110, -41720, -608160
26653, -457, 1997, -735, -219940, 359800, 289800
26673, -420, 1997, -477, -292320, 576170, 725690
26693, -257, 1997, -743, 200690, 259630, 2030
26713, -84, 1997, -871, 261730, -60620, -572950
26733, -309, 1530, -577, -310800, 135730, -32900
26753, -225, 605, -222, -444570, 415730, 538020
26773, -135, 202, -24, -124740, 416710, 426790
26793, -102, 160, 9, 154420, 299880, 82460
26813, -166, 433, 7, 235130, 201180, -126280
26833, -184, 1055, -100, 202720, 114380, -241430
26853, -88, 1222, -293, 28140, -4060, -353080
26873, -41, 787, -302, -234500, -49910, -311850
26893, -68, 303, -137, -281750, 63980, -75670
26913, -71, 135, -43, -110810, 208250, 118510
26933, -60, 42, -1, 38010, 275450, 167440
26953, -50, 18, 15, 96810, 282870, 148120
26973, -43, 16, 22, 110600, 270270, 121870
26993, -34, 10, 24, 104510, 253470, 107940
27013, -31, 8, 22, 88690, 236040, 106260
27033, -33, 10, 21, 73080, 221480, 112350
27053, -36, 6, 26, 61950, 210770, 122360
27073, -46, -4, 29, 52850, 200410, 133000
27093, -64, -18, 45, 45920, 184870, 135170
27113, -164, -22, 127, 45850, 158620, 112840
27133, -651, 975, 37, 48790, 102900, 39830
27153, -578, 1997, -852, 45360, -110600, -310660
27173, 184, 1997, -1451, -51590, -566300, -1149610
27193, -1001, 1997, -748, 213290, 506800, 523950
27213, -574, 960, 81, -22750, 925540, 1236410
27233, -738, 1997, -685, -90930, 154980, -163730
27253, 50, 1997, -1241, 241080, -402010, -1233400
27273, -555, 1997, -885, 193410, 86870, -285670
27293, -823, 1254, -375, -269780, 672630, 955080
27313, -461, 942, -226, -382760, 394240, 534590
27333, -511, 1680, -504, 237860, -160650, -626850
27353, -72, 1642, -443, 464520, -370790, -1005970
27373, -50, 1103, -295, 218400, -192360, -486220
27393, -200, 528, -128, -63420, 114590, 271670
27413, -254, 502, -139, -220780, 246610, 635530
27433, -181, 360, -99, -235830, 228620, 640080
27453, -134, 165, -29, -39970, 113330, 351610
27473, -112, 128, -20, 227850, -41020, -57260
27493, -105, 131, -10, 315070, -139790, -263900
27513, -107, 212, -19, 290220, -200480, -330400
27533, -73, 240, -7, 223370, -245140, -341180
27553, -53, 64, 3, 116340, -270270, -291760
27573, -43, 14, 6, 30170, -279090, -225820
27593, -38, 2, 5, -1400, -285880, -200830
27613, -40, 5, 2, -14560, -292530, -197120
27633, -49, 27, -5, -25970, -298760, -199010
27653, -39, 23, -21, -39830, -303730, -200340
27673, -17, 42, -54, -51660, -302470, -200270
27693, 246, 577, -655, -45500, -278460, -188650
