T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
37535, -99, -68, 1047, -3290, 6090, 560
37555, -101, -68, 1029, -1400, 3710, 770
37575, -104, -67, 1032, 630, -1960, 490
37595, -111, -69, 1034, 910, -4900, 280
37615, -104, -58, 1030, 1050, -3990, 280
37635, -113, -56, 1031, 2660, -4830, 210
37655, -118, -51, 1040, 5110, -3920, -1330
37675, -130, -54, 1060, 7560, -3710, -2800
37695, -125, -45, 1062, 10850, -5670, -2940
37715, -119, -49, 1050, 15260, -7630, -3430
37735, -114, -52, 1052, 19180, -8260, -6370
37755, -106, -52, 1069, 21840, -6230, -8190
37775, -92, -52, 1043, 23240, -3290, -7140
37795, -70, -34, 1044, 26740, -6160, -4550
37815, -89, -38, 1020, 24990, -11480, -1400
37835, -111, -37, 1046, 20930, -14700, 1260
37855, -91, -11, 1088, 20510, -17570, 490
37875, 15, -35, 1044, 24710, -34790, 5670
37895, -79, -22, 1007, 38640, -68110, 21700
37915, -47, 39, 1080, 27930, -43540, 10220
37935, 11, 52, 1087, 27580, -36540, 8330
37955, -18, 63, 1119, 27160, -32200, 4200
37975, -2, 74, 1119, 28490, -31290, 2170
37995, 4, 77, 1084, 31850, -41650, -2380
38015, 32, 78, 1044, 31500, -45710, 280
38035, 39, 130, 1068, 29260, -30940, 700
38055, 65, 131, 1040, 31500, -10570, -10920
38075, 60, 144, 1040, 29540, -1400, -21910
38095, 74, 182, 1061, 24570, 2800, -29470
38115, 83, 201, 1046, 19320, 10710, -33810
38135, 46, 227, 998, 13510, 25900, -27650
38155, 8, 223, 918, 10080, 34370, -23660
38175, -65, 216, 901, 4550, 33180, -23730
38195, -55, 224, 874, 1190, 22120, -18130
38215, -68, 231, 856, -2240, 18270, -17570
38235, -48, 211, 834, -5600, 16170, -14910
38255, -44, 219, 841, -8750, 7350, -11760
38275, -67, 192, 824, -11970, -1960, -11410
38295, 5, 169, 771, -16800, -17360, -6020
38315, -67, 221, 878, -14280, -23870, 10360
38335, -126, 186, 836, 3570, -21770, 38220
38355, -66, 186, 810, -1960, -31290, 31990
38375, -58, 185, 786, -6020, -39060, 7560
38395, -18, 217, 745, -15050, -40040, -13160
38415, -10, 236, 533, -22470, -45640, -40460
38435, -213, 1683, -448, 71890, -58520, -114240
38455, 293, 1339, -220, 380660, -58870, -185920
38475, -92, 475, -69, 489930, -35140, -196280
38495, -90, 558, -149, 216160, 98350, -45570
38515, -111, 1204, -430, 95690, 140770, 14350
38535, -187, 1948, -577, 182560, 175210, 28280
38555, -291, 1997, -414, 490700, 282730, 84630
38575, -266, 1997, -417, 706510, 368760, 147420
38595, -151, 1997, -700, 430780, 280910, 74690
38615, -171, 1997, -689, 104930, 148890, -56210
38635, -269, 1997, -409, 336910, 224070, 12460
38655, -264, 1902, -313, 680400, 390600, 209860
38675, -178, 1997, -604, 323190, 277060, 121310
38695, -185, 1997, -804, 380940, 272300, 111860
38715, -354, 1997, -638, 581070, 438200, 350000
38735, -344, 1997, -569, 413350, 508900, 489370
38755, -192, 1997, -713, 139510, 363580, 280700
38775, -187, 1997, -572, 218960, 300090, 144200
38795, -247, 1516, -305, 274960, 396060, 304990
38815, -200, 628, -117, 71260, 430570, 429100
38835, -100, 113, -21, -108640, 359800, 369810
38855, -73, 47, -1, -155820, 287700, 274610
38875, -63, 34, 3, -165620, 246820, 227640
38895, -59, 12, 4, -170660, 216440, 201390
38915, -63, 7, 7, -164080, 188160, 172270
38935, -73, 5, 16, -140070, 155890, 123270
38955, -103, 19, 23, -97440, 110390, 37380
38975, -174, 139, 19, -31850, 39340, -108220
38995, -304, 497, -29, 48300, -74200, -340970
39015, -365, 1089, -158, 79940, -234430, -642320
