T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
214747, -35, -95, 1044, -6090, 2520, -5740
214767, -17, -118, 989, -11060, 560, -8120
214787, 5, -63, 974, -5460, 4130, -14070
214807, -7, -71, 964, -6440, 6650, -20160
214827, 17, -20, 1082, -7350, 14210, -24430
214847, 35, -16, 1076, 1750, 27230, -32270
214867, 30, -61, 1008, -11830, 36260, -39690
214887, -75, -183, 918, -24360, 35770, -42980
214907, -37, -161, 870, -45010, 37310, -41510
214927, -187, -270, 907, -73990, 38780, -68320
214947, -77, -281, 888, -122220, 37100, -78680
214967, -111, -269, 1039, -77000, 21770, -30030
214987, -157, -386, 850, -41370, 16730, 3080
215007, -84, -377, 946, -41930, -14980, 23730
215027, -57, -320, 940, -14980, -34020, 21070
215047, 40, -209, 1016, -7980, -29260, 10990
215067, 77, -159, 1058, 23030, -7420, 6580
215087, 87, -178, 1063, 31150, -56280, 34020
215107, 28, -97, 998, 48930, -51520, 37940
215127, -97, -153, 1016, 52290, -29960, 34790
215147, -125, -166, 1063, 49630, 2660, 20790
215167, -192, -108, 1052, 21210, 16520, 14630
215187, -240, -189, 1062, 6440, 9310, 9660
215207, -435, -644, 822, -34720, 27160, -26670
215227, -358, -164, 1040, -71890, 88270, -167790
215247, -171, 107, 945, -65800, 155120, -289660
215267, -263, -139, 898, -72380, 115220, -182910
215287, -388, -405, 799, -33670, 60620, -28700
215307, -460, -461, 942, -18060, 59570, -11690
215327, -500, -539, 1071, -9800, 105490, -44240
215347, -374, -376, 1082, -17640, 112490, -72100
215367, -213, -124, 945, -32550, 57610, -81200
215387, -86, -34, 968, -29820, -26740, -57540
215407, -177, -199, 1219, -28350, -71540, -13510
215427, -236, -274, 1116, -68880, -119350, 52290
215447, -260, -366, 1063, -174720, -227780, 106680
215467, -230, -403, 961, -266350, -328510, 150500
215487, -193, -383, 623, -364630, -379820, 204120
215507, -345, -266, 360, -479920, -399350, 274540
215527, -217, -695, 362, -654710, -370440, 324030
215547, -253, -963, 91, -573580, -417620, 199640
215567, -186, -1471, -353, -498120, -398440, -8750
215587, -499, -1519, -509, -357490, -432250, -44030
215607, -317, -905, -451, -296800, -515270, 106750
