T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
204993, -90, 787, 828, 68810, 46130, -22820
205013, 248, 613, 894, 91420, 41440, -12460
205033, 227, 571, 854, 44100, 15750, 16030
205053, 232, 526, 911, 4060, 8470, -4480
205073, 226, 439, 922, -13930, 11550, -2520
205093, 276, 443, 889, -420, 15190, 11130
205113, 338, 432, 865, 26880, 10080, 24150
205133, 439, 399, 819, 52500, 15050, 26810
205153, 335, 505, 786, 85260, 42980, 14350
205173, 281, 596, 752, 127330, 95410, 1190
205193, 217, 708, 670, 161420, 128450, 210
205213, 123, 825, 625, 170240, 151760, -2870
205233, -27, 920, 628, 162260, 168420, -13930
205253, -30, 991, 581, 147420, 169470, -16870
205273, -48, 976, 582, 123410, 144620, -17500
205293, -227, 1015, 650, 81970, 132160, -36960
205313, -311, 1024, 671, 38990, 150430, -65660
205333, -407, 888, 743, 18900, 132020, -78540
205353, -380, 716, 701, 6440, 100310, -64540
205373, -255, 745, 606, 30590, 73500, -14280
205393, -182, 894, 517, 92680, 27930, 44730
205413, -105, 894, 455, 131460, 8540, 78540
205433, -76, 896, 428, 133070, 9380, 89460
205453, -61, 942, 352, 135100, -10010, 56070
205473, -81, 935, 325, 133420, -1680, 60900
205493, -156, 912, 139, 141190, 17220, 64190
205513, -141, 966, 64, 120960, 104160, 23100
205533, -150, 1010, 233, 50750, 275800, -54810
205553, -159, 985, 281, 22890, 346570, -81620
205573, -194, 895, 394, -16030, 363230, -42980
205593, -362, 911, 353, 34580, 289870, 17220
205613, -213, 1108, 82, 244650, 1470, 62300
205633, -194, 842, 296, 254380, -13650, 6580
205653, -381, 772, 47, 255710, 4690, -62440
205673, 30, 729, -332, 351120, -75390, 13230
205693, -319, 987, -188, 458360, -103530, 72520
205713, -116, 1041, -391, 149380, 89460, 119070
205733, -24, 961, -405, 86310, 44380, 113890
205753, -80, 985, -402, 66570, 46410, 113400
205773, -59, 915, -314, 60970, 55860, 127120
205793, -27, 827, -309, 84140, 73430, 170380
205813, -79, 782, -460, 142940, 83860, 215250
205833, 323, 910, -635, 192640, 20860, 221550
205853, 299, 687, -612, 221130, -100380, 197050
205873, 495, 604, -694, 184870, -120260, 165340
205893, 507, 531, -968, 159040, -79310, 129430
205913, 50, 535, -767, 164920, 32340, 140980
205933, 174, 399, -763, 233520, 62300, 171850
205953, 218, 366, -776, 227290, -4340, 157780
205973, 295, 294, -888, 188230, -31850, 147070
205993, 340, 246, -925, 146090, -15680, 144340
206013, 311, 136, -936, 122010, -3780, 152250
206033, 324, 36, -965, 134680, -24500, 155260
206053, 312, 1, -1038, 140630, -32060, 130830
206073, 352, 4, -977, 130060, -22680, 85470
206093, 371, -44, -853, 108710, -22260, 39200
206113, 341, -47, -788, 77630, -19530, 13370
206133, 302, -59, -771, 59640, -19250, 3220
206153, 326, -102, -812, 67270, -34090, -1260
206173, 419, 8, -806, 87640, -55860, -8400
206193, 500, 30, -879, 110180, -46620, -19460
206213, 288, -104, -742, 153580, -22190, 22190
206233, 59, -238, -572, 243600, -18900, 115850
206253, -9, -201, -389, 292040, -39690, 160160
206273, -148, 243, -300, 258300, -50120, 101360
206293, 632, 968, -416, 154070, -72380, -80220
206313, 48, 143, -9, -106330, -58310, -77280
206333, -1, 22, 19, -224770, -32130, 140630
206353, -25, -6, -10, -242340, -61670, 163520
206373, -32, 11, -1, -231770, -69790, 166880
206393, -53, 35, 13, -226940, -68180, 165200
206413, -122, 201, 39, -248500, -85680, 161070
206433, -396, 1997, -305, -387170, -166530, 119000
206453, -201, 1997, -1682, -1238650, -476070, -75180
206473, 111, 1997, -1389, -1612800, -530320, 93310
206493, -653, 1953, -19, 226380, -143220, 478520
206513, -272, 1997, -1236, 525070, -100520, 346990
206533, -7, 1696, -1335, -1400560, -389410, 133210
206553, -8, 1460, -609, -1093680, -309400, 361900
206573, -142, 1667, 27, 381290, -90160, 460250
206593, -301, 1997, -368, 452830, -69930, 396760
206613, -451, 1997, -1052, -617890, -228900, 401660
206633, -70, 1241, -814, -1314670, -339430, 599200
206653, -113, 1995, -597, -428470, -305690, 683270
206673, -190, 1997, -299, 779380, -316400, 351680
206693, -266, 1475, -510, 352520, -468090, 98840
206713, -297, 387, -304, -603680, -489650, 315770
206733, -179, 47, -134, -715400, -441700, 564340
206753, -127, -44, -70, -453530, -427420, 585270
206773, -95, -75, -40, -231210, -408450, 537180
206793, -72, -90, -22, -72100, -390180, 468230
206813, -68, -87, -6, 47740, -378560, 381920
206833, -86, -70, 12, 132510, -377090, 282170
206853, -166, -1, 78, 169610, -396410, 167720
206873, -564, 763, 382, 132020, -456260, 21000
206893, -568, 1997, -1027, -180250, -654500, -252560
206913, -169, 1997, -1997, -1397410, -1096620, -675850
206933, 195, 1960, -1471, -2238250, -1105300, -320670
206953, -760, 1966, 352, -742420, -324940, 867440
206973, -17, 1997, -1505, 1822450, 338800, 1106420
206993, 410, 1848, -1923, -97370, -308070, -232330
207013, -173, 1922, -1062, -2138850, -516670, -606060
207033, -586, 1744, -273, -678580, 358190, 389620
