T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
2436, -58, -12, 1094, -66150, 6650, -28000
2456, 0, -1, 1045, -47460, -9730, -26180
2476, 50, -5, 1132, -32340, -27160, -16030
2496, 50, 25, 965, -57470, -46830, -770
2516, 0, -33, 1078, -84630, -44660, 1890
2536, 41, 91, 1110, -59990, -34300, -2100
2556, 145, 128, 1034, -2380, -20440, -3010
2576, 53, 6, 1065, 45500, -16450, 18270
2596, 27, 47, 1136, 29540, -31430, 52640
2616, 53, 17, 1079, 210, -20510, 47110
2636, 12, -86, 1071, 3150, -1400, 42770
2656, -61, -235, 820, -8890, 9520, 48370
2676, -91, -276, 926, -48020, 20580, 21490
2696, -109, -287, 894, -21070, 9450, 5530
2716, -63, -276, 972, -7630, 4970, 630
2736, -86, -299, 953, -7280, 3990, 6650
2756, -78, -248, 907, 280, 13650, 3220
2776, -35, -184, 956, -12180, 24150, -8120
2796, -86, -133, 1105, 32900, 9730, -13790
2816, -117, -181, 1172, 45220, -10710, -7630
2836, -28, -212, 1021, -60550, -22330, -13720
2856, 43, -352, 849, -242270, -59080, -30590
2876, 45, -468, 835, -343700, -82810, -1050
2896, 41, -407, 988, -236740, -54460, 4830
2916, 52, -442, 993, -55790, -12040, -15890
2936, 62, -449, 937, 840, 6440, -1330
2956, 51, -451, 921, -14840, 14420, 14490
2976, 53, -408, 971, -1470, 32270, 8470
2996, 70, -356, 983, 17640, 38710, 3010
3016, 46, -379, 1011, 24150, 20020, 1610
3036, 11, -394, 1042, 21770, 7070, -2590
3056, 11, -385, 1051, 11270, 7350, -5880
3076, 0, -377, 1125, -2240, 8050, -11550
3096, 22, -368, 1117, -28490, 12950, -12460
3116, 31, -429, 1053, -76090, 1330, -15750
3136, 40, -491, 1012, -134050, -9590, -11130
3156, 41, -555, 932, -159180, -13230, -4760
3176, 6, -583, 883, -150990, -9870, 2730
3196, -17, -586, 875, -78680, 13160, -3290
3216, -24, -602, 844, -77350, 25130, -1120
3236, -69, -638, 873, -67340, 29330, 9030
3256, -76, -648, 893, -55090, 24080, 5810
3276, -50, -626, 804, -54600, 15820, 1400
